material_id,topic,question_no,issue_id,question,source_date
1003,Building,1,5578,Do you take photos of buildings?,2026-01-08
1003,Building,2,5579,Is there a building that you would like to visit?,2026-01-08
1003,Building,3,5607,Are there tall buildings near your home?,2026-01-12
1003,Building,4,5635,Do you want to live in a tall building?,2026-01-16
1004,Childhood activities,1,5580,What were your favourite activities when you were a child?,2026-01-08
1004,Childhood activities,2,5581,Did you prefer to do activities alone or with a group of people when you were a child?,2026-01-08
1004,Childhood activities,3,5653,What are your favourite activities?,2026-01-21
1004,Childhood activities,4,5661,Are there any differences between the activities you liked when you were a child and those you like now?,2026-01-30
1008,View,1,5621,Do you like taking pictures of different views?,2026-01-13
1008,View,2,5622,Do you prefer views in urban areas or rural areas?,2026-01-13
1008,View,3,5623,Do you prefer views in your own country or in other countries?,2026-01-13
1008,View,4,5662,Have you ever seen an unforgettable and beautiful view or scenery?,2026-01-30
1011,Social media,1,5686,Have you ever posted anything on social media?,
1011,Social media,2,5687,When did you start using social media?,
1011,Social media,3,5688,Do you think you spend too much time on socialmedia?,
1011,Social media,4,5689,Do your friends use social media?,
1011,Social media,5,5690,What do people often do on social media?,
1012,Science,1,5691,Do you like science?,
1012,Science,2,5692,When did you start to learn about science?,
1012,Science,3,5693,Which science subject is interesting to you?,
1012,Science,4,5694,What kinds of interesting things have you done with science?,
1012,Science,5,5695,Do you like watching science TV programs?,
1012,Science,6,5696,Do Chinese people often visit science museums?,
1013,Parks,1,5697,Did you like going to parks as a child?,
1013,Parks,2,5698,Do you still like going to parks now?,
1014,Teachers,1,5702,Do you want to be a teacher in the future?,
1014,Teachers,2,5703,Do you have a teacher from your past that you stillremember?,
1014,Teachers,3,5704,Are you still in touch with your primary school teachers?,
1014,Teachers,4,5705,In what way has your favourite teacher helped you?,
1014,Teachers,5,5826,Do you have a favorite teacher?,
1029,Telling Jokes,1,5776,Do you like to tell jokes?,2026-05-07
1029,Telling Jokes,2,5777,Do you have friends who love telling jokes?,2026-05-07
1029,Telling Jokes,3,5778,What are some common comedy shows in your country?,2026-05-07
1029,Telling Jokes,4,5779,Do you often joke with your friends?,2026-05-07
1029,Telling Jokes,5,5780,Do you like being joked about?,2026-05-07
1030,Music,1,5788,Do you like music?,
1030,Music,2,5789,What kinds of music do you listen to?,
1030,Music,3,5790,Do you prefer sad or happy music?,
1030,Music,4,5791,Does happy music make you feel more excited?,
1030,Music,5,5792,Is it easy to learn music?,
1030,Music,6,5793,Do you learn music lessons at school?,
1031,Tidiness,1,5794,Do you like to keep things tidy?,
1031,Tidiness,2,5795,Did you use to keep your room tidy as a child?,
1031,Tidiness,3,5796,Are you a tidy person now?,
1031,Tidiness,4,5797,What do you think of those who don't care about tidiness?,
1031,Tidiness,5,5798,What do you think of those who are overly concerned about tidiness?,
1033,Clothing,1,5806,What kind of clothes do you like to wear?,
1033,Clothing,2,5807,Do you prefer to wear comfortable and casual clothes or formal clothes?,
1033,Clothing,3,5808,Do you like wearing T-shirts?,
1033,Clothing,4,5809,Do you spend a lot of time choosing clothes?,
1033,Clothing,5,5824,Do you wear clothes of different styles onweekdays and weekends?,
1033,Clothing,6,5825,What colour clothes do you like?,
169,Scenery,1,5597,Do you look out the window at the scenery when travelling by bus or car?,2026-01-09
169,Scenery,2,5598,Do you prefer the mountains or the sea?,2026-01-09
169,Scenery,3,5599,Do you like to take pictures of the scenery?,2026-01-09
169,Scenery,4,5600,What are the most beautiful sights you have seen while traveling?,2026-01-09
27,Work/studies,1,3834,Do you work or are you a student?,2024-02-27
27,Work/studies,2,3835,What do you do?,2024-02-27
27,Work/studies,3,3836,Why did you choose to do this type of work?,2024-02-27
27,Work/studies,4,3837,Do you like your job? Why/Why not?,2024-02-27
