material_id,topic,part2_issue_id,part2_card,part3_questions,source_date
1014,Teachers,5702,Do you want to be a teacher in the future?,,
1033,Clothing,5806,What kind of clothes do you like to wear?,,
1005,不享受的音乐活动,5582,"Describe an event you attended in which you didn't enjoy the music played

You should say:

What it was

Who you went with

Why you decided to go there

And explain why you didn't enjoy it","1. What kind of music events do people like today?
2. Do you think children should receive some musical education?
3. What are the differences between old and young people's music preferences?
4. What kind of music events are there in your country?
5. Why do many people like listening to music while doing sports?
6. What are the differences between listening to music at home and at a live concert?",2026-01-26
1006,朋友自学,5654,"Describe one of your friends who learned something without a teacher

You should say:

Who he/she is

What he/she learned

Why he/she learned this

And explain whether it would be easier to learn from a teacher","1. Is it necessary to keep learning after graduating from school?
2. Should teachers make learning in their classes fun?
3. Do you think there are too many subjects for students to learn?
4. Is it better to focus on a few subjects or to learn many subjects?
5. Do you think enterprises should provide training for their employees?
6. Do you think it is good for older adults to continue learning?",2026-01-21
1007,有趣的建筑,5587,"Describe an interesting building

You should say:

Where it is

What it looks like

What function it has

And explain why you think it is interesting","1. What types of buildings are popular in your country?
2. Is it worth spending a lot of money on the exterior appearance of a building?
3. Is it more important for a building to look good on the outside or on the inside?
4. Why do people like to visit historical sites?
5. Do you think it's reasonable to charge an entry fee for visiting interesting buildings?
6. Is it better to live in a new building or an old one?",2026-01-30
1010,爱护自然的人,5679,"Describe a person who likes to look after the natural world

You should say:

Who this person is

What he or she does

How he or she does it

How often he or she does it

And explain how you feel about this person","1. Do you think parents should teach their children how to protect the environment?
2. What laws about the environment are effective in your country?
3. Which do you think people prefer, rewards or punishment, when it comes to government intervention in environmental protection?
4. Is it easy for children in cities to get close to the natural world?
5. What can people do to protect the natural world?
6. Is it important to teach students environmental protection at school?",2026-03-06
1017,喜欢或不喜欢的高建筑,5706,"Describe a tall building you like or dislike

You should say:

What it is used for

Where it is

What it looks like

And explain why you like/dislike it","1. Are there many tall buildings in your country?
2. What are the differences between those tall buildings in your country?
3. Why are different places laid out and designed differently?",2026-05-07
1018,有趣视频,5709,"Describe an interesting video

You should say:

When and where you watched it

What it is about

Why you watched it

And explain how you feel about it","1. What kind of videos do people in your country like to watch?
2. Which is more helpful, watching videos or reading books?
3. What skills can people learn from watching videos?
4. Are there any differences between the videos that young people and old people like to watch?",2026-05-06
1019,无聊的地方,5715,"Describe a boring place

You should say:

Where it is

Who you went there with

What you did there

And explain why you think it is a boring place","1. Why do most children think education is boring?
2. Why aren't young people willing to listen to the experiences of older people?
3. What can people do when they feel bored?
4. Why are some teachers' classes boring? Are there any solutions?",2026-05-06
1020,去过的最喜欢的城市,5725,"Describe your favorite city that you have visited

You should say:

Where it is

How you knew it

When you visited it

And explain why it is your favourite city","1. Which is more suitable for young people, urban life or rural life, and which is more suitable for old people?
2. How do people choose a city to travel to?
3. Do you think a tourist city is also a good place to live? Why?
4. Do most people prefer to travel in a modern city or a historical city?",2026-05-06
1021,喜欢在家/花园种菜的人,5730,"Describe a person who loves to grow vegetables at home or in the garden

You should say:

Who this person is

What vegetables he/she grows

How he/she grows the vegetables

And explain why he/she loves growing vegetables","1. What are the advantages of growing vegetables or flowers at home?
2. Do many people grow vegetables or flowers at home in your country?",2026-05-06
1023,想从事医疗行业的人,5740,"Describe a person you know who would like to choose a career in the medical field (e.g. a doctor, a nurse)

You should say:

When you knew him/her

When he/she started to think about that

What he/she would like to do

And explain why he/she would like to choose this career","1. Do you think being a doctor is easy or difficult?
2. Do you think learning biology is interesting for children?",2026-05-06
1024,拥有成功事业的人,5743,"Describe a person you know who has a successful business

You should say:

Who this person is

How you got to know him/her

Why and how he/she started the business

What business he/she does

And explain why you think the business is successful","1. Why do some people start their own business?
2. Should governments provide financial support to start-ups?
3. Do most people prefer shopping at big stores or small stores?
4. What makes a business successful?
5. What makes a business fail?",2026-05-07
1025,在团队中工作,5750,"Describe a time when you worked in a group

You should say:

What you did

Who you worked with

What problems you faced

And explain why you worked in the group","1. Why do some people prefer to work by themselves?
2. What should a leader do to make team members want to follow him or her?
3. Should students learn to do group work?
4. What group tasks are there in schools?",2026-05-07
1026,特殊场合下吃的食物,5756,"Describe a kind of food that you ate at special occasions

You should say:

What it is

What occasion it was

Why you would like to eat it

And explain how you feel about it","1. Why do people eat special food on special occasions or festivals?
2. How is festival food different from daily meals?
3. Why is it important to have a special meal to celebrate a festival?
4. How has people's diet changed compared to the past?",2026-05-07
1027,看过的现场比赛,5761,"Describe a live sport match you have ever watched

You should say:

What it was

When you watched

What it was like

And explain how you felt about it","1. What are the main differences between watching a sports event live in a stadium and watching it on TV?
2. What kinds of sports events are most popular to watch in your country?
3. What types of sports events or competitions are suitable for children to watch?",2026-05-07
1028,名人广告,5765,"Describe a piece of advertisement which is about a famous person

You should say:

What the advertisement is about

When and where you saw it

What the famous person does in the advertisement

And explain how you felt about it","1. What are the advantages and disadvantages of advertising?
2. Why do so many companies choose celebrities for advertisements?
3. Where do people often see advertisements in daily life?
4. Do you think advertising is effective?
5. Which is more effective, in your opinion: online or traditional offline advertising?",2026-05-07
1032,去过且喜欢的城市,5799,"Describe a city you enjoyed visiting
You should say:
Where it is
When you visited it
How long you stayed there
What you did there
And explain why you enjoyed visiting it","1. What kinds of facilities do big cities have?
2. Do you think modern cities are suitable for young people or old people?
3. Before you travel to a city, what factors would you consider?
4. What are the disadvantages of living in a very famous city?
5. Do you prefer to visit well-developed cities or cities with a long history?
6. For those who live in cities, is it because they want to or have to?",
1035,重要决定,5811,"Describe an important decision that you made
You should say:
What the decision was
How you made your decision
What the results of the decision were
And explain why it was important","1. Do you think children sometimes have to make important decisions?
2. What important decisions do teenagers need to make after graduation?
3. Who can children turn to for help when making a decision?
4. Do you think advertisements can influence our decisions when shopping?
5. Do you think the influence of advertising is good?
6. How do people usually make important decision?",
1036,擅长学习和说语言的人,5818,"Describe a person who is good at learning and speaking new languages
You should say:
How you got to know him/her
How he/she learns a new language
What languages he/she can speak
And explain how you feel about him/her","1. Are there many people who can speak foreign languages in your country?
2. Does speaking other languages help at work?
3. Do people learn any languages other than English?
4. Why is it easier for children to learn new things than for adults?
5. How do people learn new things?",
302,长期追求,1501,"Describe an ambition you have had for a long time
You should say:
What it is
What you did for it
When you can achieve it
And explain why you have this ambition","1. What kinds of ambitions do people have?
2. Why should parents encourage children to have ambitions?
3. Should parents interfere with their children's ambitions?
4. Is there any difference between children's ambitions and those of grown-ups?",2020-09-14
324,对家庭重要的东西,1599,"Describe something important that has been kept in your family for a long time
You should say:
What it is
When your family had it
How your family got it
And explain why it is important f or your family","1. What things do families keep for a long time?
2. What's the difference between things valued by people in the past and today?
3. What kinds of things are kept in museums?
4. What's the influence of technology on museums?
5. What are the benefits of technology for learning history?
6. Why do people visit museums?",2026-01-12
326,发挥想象力,1606,"Describe a time you needed to use your imagination
You should say:
When it was
Why you needed to use imagination
How difficult or easy it was
And explain how you felt about it","1. Do you think adults can have lots of imagination?
2. Do you think imagination is essential for scientists?
3. What kinds of jobs need imagination?
4. What subjects are helpful for children's imagination?
5. What games help develop children's imagination?
6. How important is imagination to children?",2026-01-12
360,鼓励别人做不愿做的事,1777,"Describe a time when you encouraged someone to do something that he/she didn't want to do

You should say:

Who he or she is

What you encouraged him/her to do

How he/she reacted

And explain why you encouraged him/her to do it","1. How can leaders encourage their employees?
2. When should parents encourage their children?
3. What kind of encouragement should parents give?
4. Do you think some people are better than others at persuading?
5. Should children do everything their parents ask them to do?
6. How can employers encourage their staff?",2026-01-30
370,当地新闻,1827,"Describe a piece of local news that people are interested in
You should say:
What it was about
Where you saw/heard it
Who was involved
And explain why people were interested in it","1. Are there a lot of people talking about local news?
2. Do young people or the elderly care more about local news?
3. Do people in your country prefer following local news or national news?",2026-05-07
378,微笑的场合,1864,"Describe an occasion when many people were smiling

You should say:

When it happened

Who you were with

What happened

And explain why most people were smiling","1. Do you think people who like to smile are more friendly?
2. Why do most people smile in photographs?
3. Do women smile more than men? Why?
4. Do people smile more when they are younger or older ?
5. Is smiling important in your culture?
6. Are there any occasions when people need to pretend to smile?",2026-01-16
399,早起经历,1966,"Describe a time when you got up early
You should say:
When it was
What you did
Why you got up early
And how you felt about it","1. Do you know anyone who likes to get up early?
2. Why do people get up early?
3. What kinds of occasions need people to arrive early?
4. Why do some people like to stay up late?
5. Is it good to arrive early in any situation?",2026-05-06
