material_id,source_part,part_type,title,updated_at
1003,part1,1,Building,
1004,part1,1,Childhood activities,
1008,part1,1,View,
1011,part1,1,Social media,
1012,part1,1,Science,
1013,part1,1,Parks,
1014,part1,1,Teachers,
1015,part1,1,Shopping,
1029,part1,1,Telling Jokes,
1030,part1,1,Music,
1031,part1,1,Tidiness,
1033,part1,1,Clothing,
169,part1,1,Scenery,
27,part1,1,Work/studies,
28,part1,1,Home/Accommodation,
29,part1,1,Hometown,
308,part1,1,Life stages,
33,part1,1,Reading,
400,part1,1,Headphone,
408,part1,1,Pets and Animals,
435,part1,1,Mirrors,
466,part1,1,Websites,
47,part1,1,The area you live in,
472,part1,1,Cars,
487,part1,1,Watch,
563,part1,1,Outer space and stars,
64,part1,1,Walking,
644,part1,1,The city you live in,
656,part1,1,Gifts,
723,part1,1,Feeling bored,
731,part1,1,Singing,
851,part1,1,Hobby,
989,part1,1,Food,
991,part1,1,Morning time,
994,part1,1,Sports team,
996,part1,1,Typing,
1005,part23,2,不享受的音乐活动,
1006,part23,2,朋友自学,
1007,part23,2,有趣的建筑,
1010,part23,2,爱护自然的人,
1017,part23,2,喜欢或不喜欢的高建筑,
1018,part23,2,有趣视频,
1019,part23,2,无聊的地方,
1020,part23,2,去过的最喜欢的城市,
1021,part23,2,喜欢在家/花园种菜的人,
1023,part23,2,想从事医疗行业的人,
1024,part23,2,拥有成功事业的人,
1025,part23,2,在团队中工作,
1026,part23,2,特殊场合下吃的食物,
1027,part23,2,看过的现场比赛,
1028,part23,2,名人广告,
1032,part23,2,去过且喜欢的城市,
1035,part23,2,重要决定,
1036,part23,2,擅长学习和说语言的人,
302,part23,2,长期追求,
324,part23,2,对家庭重要的东西,
326,part23,2,发挥想象力,
360,part23,2,鼓励别人做不愿做的事,
370,part23,2,当地新闻,
378,part23,2,微笑的场合,
399,part23,2,早起经历,
406,part23,2,机智解决问题的人,
414,part23,2,自行车/摩托车/汽车旅行,
426,part23,2,花费超过预期的物品,
430,part23,2,为家人骄傲,
546,part23,2,发小,
634,part23,2,乐于助人的人,
760,part23,2,想颁布的新法律,
819,part23,2,近期观影,
868,part23,2,近期改变的计划,
909,part23,2,想见的名人,
988,part23,2,完美工作,
990,part23,2,禁止用手机的场合,
993,part23,2,喜欢画画的孩子,
995,part23,2,擅长做计划的人,
997,part23,2,Apps/程序,
998,part23,2,想拥有的科技产品,
