material_id,material_title,part,issue_id,question,updated_at,suggested_time
1003,Building,Part 1,5607,1. Are there tall buildings near your home?,,2026-01-12
1003,Building,Part 1,5578,2. Do you take photos of buildings?,,2026-01-08
1003,Building,Part 1,5579,3. Is there a building that you would like to visit?,,2026-01-08
1003,Building,Part 1,5635,4. Do you want to live in a tall building?,,2026-01-16
1004,Childhood activities,Part 1,5653,1. What are your favourite activities?,,2026-01-21
1004,Childhood activities,Part 1,5580,2. What were your favourite activities when you were a child?,,2026-01-08
1004,Childhood activities,Part 1,5581,3. Did you prefer to do activities alone or with a group of people when you were a child?,,2026-01-08
1004,Childhood activities,Part 1,5661,4. Are there any differences between the activities you liked when you were a child and those you like now?,,2026-01-30
1008,View,Part 1,5621,1. Do you like taking pictures of different views?,,2026-01-13
1008,View,Part 1,5622,2. Do you prefer views in urban areas or rural areas?,,2026-01-13
1008,View,Part 1,5623,3. Do you prefer views in your own country or in other countries?,,2026-01-13
1008,View,Part 1,5662,4. Have you ever seen an unforgettable and beautiful view or scenery?,,2026-01-30
1011,Social media,Part 1,5686,Have you ever posted anything on social media?,,
1011,Social media,Part 1,5687,When did you start using social media?,,
1011,Social media,Part 1,5688,Do you think you spend too much time on socialmedia?,,
1011,Social media,Part 1,5689,Do your friends use social media?,,
1011,Social media,Part 1,5690,What do people often do on social media?,,
1012,Science,Part 1,5691,Do you like science?,,
1012,Science,Part 1,5692,When did you start to learn about science?,,
1012,Science,Part 1,5693,Which science subject is interesting to you?,,
1012,Science,Part 1,5694,What kinds of interesting things have you done with science?,,
1012,Science,Part 1,5695,Do you like watching science TV programs?,,
1012,Science,Part 1,5696,Do Chinese people often visit science museums?,,
1013,Parks,Part 1,5697,Did you like going to parks as a child?,,
1013,Parks,Part 1,5698,Do you still like going to parks now?,,
1014,Teachers,Part 1,5702,Do you want to be a teacher in the future?,,
1014,Teachers,Part 1,5703,Do you have a teacher from your past that you stillremember?,,
1014,Teachers,Part 1,5704,Are you still in touch with your primary school teachers?,,
1014,Teachers,Part 1,5705,In what way has your favourite teacher helped you?,,
1014,Teachers,Part 1,5826,Do you have a favorite teacher?,,
1014,Teachers,Part 2,5702,Do you want to be a teacher in the future?,,
1029,Telling Jokes,Part 1,5776,1. Do you like to tell jokes?,,2026-05-07
1029,Telling Jokes,Part 1,5777,2. Do you have friends who love telling jokes?,,2026-05-07
1029,Telling Jokes,Part 1,5778,3. What are some common comedy shows in your country?,,2026-05-07
1029,Telling Jokes,Part 1,5779,4. Do you often joke with your friends?,,2026-05-07
1029,Telling Jokes,Part 1,5780,5. Do you like being joked about?,,2026-05-07
1030,Music,Part 1,5788,Do you like music?,,
1030,Music,Part 1,5789,What kinds of music do you listen to?,,
1030,Music,Part 1,5790,Do you prefer sad or happy music?,,
1030,Music,Part 1,5791,Does happy music make you feel more excited?,,
1030,Music,Part 1,5792,Is it easy to learn music?,,
1030,Music,Part 1,5793,Do you learn music lessons at school?,,
1031,Tidiness,Part 1,5794,Do you like to keep things tidy?,,
1031,Tidiness,Part 1,5795,Did you use to keep your room tidy as a child?,,
1031,Tidiness,Part 1,5796,Are you a tidy person now?,,
1031,Tidiness,Part 1,5797,What do you think of those who don't care about tidiness?,,
1031,Tidiness,Part 1,5798,What do you think of those who are overly concerned about tidiness?,,
1033,Clothing,Part 1,5806,What kind of clothes do you like to wear?,,
1033,Clothing,Part 1,5807,Do you prefer to wear comfortable and casual clothes or formal clothes?,,
