schema_version,canonical_key,exam_key,source_section,source_block,source_question_no,correct_answer,source_pdf,source_sha256,target_paper_id,target_section_id,target_question_id,target_sequence,match_method,match_status,reviewer_note
1.0,2026-04-08:reading:main:q21,2026-04-08,reading,main,21,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q22,2026-04-08,reading,main,22,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q23,2026-04-08,reading,main,23,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q24,2026-04-08,reading,main,24,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q25,2026-04-08,reading,main,25,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q26,2026-04-08,reading,main,26,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q27,2026-04-08,reading,main,27,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q28,2026-04-08,reading,main,28,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q29,2026-04-08,reading,main,29,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q30,2026-04-08,reading,main,30,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q31,2026-04-08,reading,main,31,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q32,2026-04-08,reading,main,32,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q33,2026-04-08,reading,main,33,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q34,2026-04-08,reading,main,34,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:main:q35,2026-04-08,reading,main,35,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:extra:q11,2026-04-08,reading,extra,11,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:extra:q12,2026-04-08,reading,extra,12,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:extra:q13,2026-04-08,reading,extra,13,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:extra:q14,2026-04-08,reading,extra,14,B,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:reading:extra:q15,2026-04-08,reading,extra,15,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q1,2026-04-08,listening,main,1,A,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q2,2026-04-08,listening,main,2,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q3,2026-04-08,listening,main,3,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q4,2026-04-08,listening,main,4,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q5,2026-04-08,listening,main,5,C,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
1.0,2026-04-08:listening:main:q6,2026-04-08,listening,main,6,D,4.8新托福真题/4.8答案.pdf,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,,,,,,unmatched,
